ALCOHOLTIME,POLICE_ATTEND,SPEED_ZONE,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,LONGITUDE,LATITUDE,class
0.0,0.0,60.0,0.0,1.0,0.0,1.0,1.0,0.0,144.35637,-38.09144,4
0.0,0.0,60.0,0.0,0.0,1.0,4.0,3.0,2.0,145.12978,-37.02037,4
0.0,0.0,80.0,0.0,1.0,0.0,0.0,1.0,0.0,145.39651,-37.53884,3
0.0,0.0,60.0,0.0,0.0,1.0,1.0,1.0,1.0,144.3693,-38.17939,4
0.0,0.0,80.0,0.0,0.0,1.0,1.0,1.0,1.0,142.24442,-38.35871,3
0.0,0.0,100.0,0.0,0.0,1.0,2.0,2.0,1.0,146.41571,-36.02864,1
0.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,147.02254,-38.17171,1
0.0,0.0,70.0,0.0,0.0,1.0,2.0,1.0,2.0,145.35934,-37.79711,0
0.0,0.0,80.0,0.0,1.0,0.0,3.0,2.0,2.0,144.92977,-37.82658,3
0.0,0.0,80.0,0.0,0.0,1.0,2.0,1.0,2.0,145.24811,-38.03707,3
0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,146.69588,-38.16808,1
0.0,0.0,100.0,0.0,0.0,1.0,1.0,2.0,0.0,145.20585,-37.94578,1
0.0,0.0,50.0,0.0,0.0,1.0,0.0,1.0,0.0,145.20388,-36.05716,2
0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,2.0,144.63536,-38.22476,1
0.0,0.0,70.0,0.0,0.0,1.0,1.0,1.0,1.0,145.13573,-38.14668,0
0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,146.54663,-38.27267,1
0.0,0.0,50.0,0.0,0.0,3.0,4.0,4.0,3.0,145.39931,-36.38109,2
0.0,0.0,90.0,1.0,1.0,1.0,0.0,2.0,1.0,145.14558,-38.26391,7
0.0,0.0,100.0,0.0,1.0,1.0,0.0,2.0,0.0,146.22734,-38.64948,1
0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,145.31455,-38.14839,1
0.0,0.0,80.0,0.0,0.0,1.0,0.0,0.0,1.0,146.52182,-38.21378,3
0.0,0.0,80.0,0.0,0.0,1.0,1.0,2.0,0.0,144.8882,-38.3981,3
0.0,0.0,60.0,0.0,0.0,1.0,1.0,0.0,2.0,144.29819,-36.7584,4
0.0,0.0,50.0,0.0,0.0,1.0,1.0,1.0,1.0,144.82677,-38.37093,2
0.0,0.0,70.0,0.0,1.0,0.0,0.0,1.0,0.0,144.61686,-37.87681,0
0.0,0.0,60.0,0.0,0.0,2.0,0.0,1.0,1.0,142.20083,-36.70534,4
0.0,0.0,70.0,0.0,0.0,3.0,1.0,2.0,2.0,143.89183,-37.55796,0
0.0,0.0,90.0,0.0,1.0,0.0,0.0,1.0,0.0,145.0551,-37.42263,7
0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,142.87831,-35.83558,1
0.0,0.0,100.0,0.0,0.0,1.0,3.0,1.0,3.0,146.88288,-36.67258,1
0.0,0.0,70.0,0.0,0.0,2.0,2.0,2.0,2.0,145.06769,-37.68707,0
0.0,0.0,60.0,0.0,0.0,1.0,0.0,0.0,1.0,145.4342,-37.89308,4
0.0,0.0,100.0,0.0,0.0,2.0,9.0,4.0,6.0,144.98501,-37.67768,1
0.0,0.0,100.0,0.0,0.0,1.0,2.0,2.0,1.0,145.07307,-37.78243,1
0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,145.83633,-38.37663,1
0.0,0.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,144.97083,-37.69101,1
0.0,0.0,100.0,0.0,2.0,1.0,0.0,1.0,2.0,144.13417,-38.10583,1
0.0,0.0,60.0,0.0,0.0,1.0,5.0,2.0,4.0,145.29043,-38.11033,4
0.0,0.0,60.0,0.0,0.0,2.0,3.0,2.0,3.0,143.81753,-37.55507,4
0.0,0.0,70.0,1.0,0.0,1.0,1.0,1.0,2.0,143.82477,-37.55813,0
0.0,0.0,60.0,0.0,0.0,1.0,1.0,1.0,1.0,144.96906,-37.8255,4
0.0,0.0,100.0,0.0,0.0,1.0,1.0,2.0,0.0,143.79405,-37.44497,1
0.0,0.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,145.09066,-37.77975,1
0.0,0.0,70.0,0.0,0.0,3.0,2.0,2.0,3.0,145.33004,-37.90222,0
0.0,0.0,100.0,0.0,0.0,1.0,1.0,0.0,2.0,145.32639,-38.03373,1
0.0,0.0,50.0,0.0,0.0,1.0,1.0,2.0,0.0,144.66599,-38.12246,2
0.0,0.0,70.0,0.0,0.0,5.0,0.0,2.0,3.0,145.49382,-38.02834,0
0.0,0.0,80.0,0.0,0.0,1.0,0.0,1.0,0.0,143.71583,-38.70908,3
0.0,0.0,70.0,0.0,0.0,1.0,1.0,1.0,1.0,145.14363,-38.18672,0
0.0,0.0,60.0,0.0,0.0,2.0,2.0,3.0,1.0,144.68596,-37.86021,4
0.0,0.0,80.0,0.0,1.0,0.0,0.0,1.0,0.0,145.20948,-37.49093,3
0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,145.00861,-37.6863,1
0.0,0.0,60.0,0.0,0.0,1.0,1.0,1.0,1.0,145.97046,-36.55606,4
0.0,0.0,60.0,0.0,0.0,2.0,1.0,3.0,0.0,142.7703,-37.05916,4
0.0,0.0,100.0,0.0,1.0,0.0,1.0,2.0,0.0,145.71471,-38.07568,1
0.0,0.0,70.0,0.0,0.0,1.0,2.0,0.0,3.0,144.69106,-37.83446,0
0.0,0.0,100.0,0.0,0.0,2.0,1.0,2.0,1.0,144.76965,-37.86796,1
0.0,0.0,80.0,0.0,0.0,1.0,0.0,1.0,0.0,144.53925,-38.23927,3
0.0,0.0,100.0,0.0,1.0,0.0,1.0,2.0,0.0,144.62568,-37.61986,1
0.0,0.0,80.0,0.0,0.0,1.0,2.0,0.0,2.0,145.28553,-38.11625,3
0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,145.68402,-38.37139,1
0.0,0.0,80.0,0.0,0.0,1.0,1.0,1.0,0.0,145.38167,-37.67195,3
0.0,0.0,100.0,0.0,1.0,2.0,0.0,1.0,2.0,144.68274,-36.72051,1
0.0,0.0,100.0,0.0,0.0,1.0,1.0,2.0,0.0,145.114,-37.88877,1
0.0,0.0,70.0,0.0,0.0,1.0,1.0,0.0,2.0,144.33955,-38.1271,0
0.0,0.0,60.0,0.0,1.0,0.0,0.0,1.0,0.0,145.33933,-37.53792,4
0.0,0.0,50.0,0.0,0.0,1.0,2.0,0.0,3.0,145.30009,-38.06042,2
0.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,143.38735,-38.42609,1
0.0,0.0,80.0,0.0,0.0,1.0,0.0,1.0,0.0,145.54745,-37.95971,3
0.0,0.0,100.0,0.0,0.0,1.0,3.0,4.0,0.0,144.83901,-37.8256,1
0.0,0.0,60.0,0.0,0.0,1.0,0.0,1.0,0.0,143.84366,-37.54176,4
0.0,0.0,50.0,0.0,0.0,2.0,2.0,1.0,3.0,141.62975,-38.13336,2
